Name,Where born,Whence appointed,Post-office,Compensation per annum,State,Postmaster,extraction_confidence
P. Cowles,Alabama,Alabama,Alexander City,$10000,Alabama,0,1.0
Mrs. N. I. Edmundson,Alabama,Alabama,Ashville,$9000,Alabama,0,1.0
David W. Pickens,Alabama,Alabama,Attalla,$15000,Alabama,0,1.0
W. H. Spencer,Alabama,Alabama,Bessemer,$90000,Alabama,0,1.0
Virgil Bouldin,Alabama,Alabama,Boaz,$60000,Alabama,0,1.0
Albert C. Weaver,Alabama,Alabama,Birmingham,$75000,Alabama,1,1.0
Henry C. Snipes,Alabama,Alabama,Brewton,$60000,Alabama,0,1.0
Hiram W. Forney,Alabama,Alabama,Brundidge,$45000,Alabama,0,1.0
Miss Nancy J. N. Hunter,Alabama,Alabama,Buffalo,$15000,Alabama,0,1.0
Mrs. F. L. Adkins,Alabama,Alabama,Butler,$15000,Alabama,0,1.0
Frank E. McCaskey,Alabama,Alabama,Camden,$20000,Alabama,0,1.0
Joseph Wood,Alabama,Alabama,Centre,$15000,Alabama,0,1.0
J. C. Collins,Alabama,Alabama,Collinsville,$10000,Alabama,0,1.0
Mrs. Thomas A. Copeland,South Carolina,Alabama,Cullman,$10000,Alabama,0,1.0
Edwin Brooks,Alabama,Alabama,Cullman,$10000,Alabama,0,1.0
Mrs. M. E. Vickers,New York,Alabama,Decatur,$25000,Alabama,1,1.0
Charles W. Timberlake,Alabama,Alabama,Dothan,$60000,Alabama,0,1.0
A. L. Brown,South Carolina,Alabama,Eufaula,$80000,Alabama,0,1.0
G. E. Bowling,Alabama,Alabama,Eutaw,$60000,Alabama,0,1.0
George Steele,Alabama,Alabama,Eutaw,$60000,Alabama,0,1.0
Robert S. Rabb, jr,Alabama,Alabama,Evergreen,$75000,"Alabama,1",1.0
Miss Leona E. Moore,Alabama,Alabama,Fayette Court House,$15000,Alabama,0,1.0
W. D. Bulger,Alabama,Alabama,Goodwater,$9000,Alabama,0,1.0
Miss Annie T. Pope,Alabama,Alabama,Goodwater,$15000,Alabama,0,1.0
Miss W. Etta Stout,Alabama,Alabama,Greensborough,$17500,Alabama,0,1.0
John W. Crenshaw,Alabama,Alabama,Greenville,$20000,Alabama,0,1.0
Fred E. Newcomer,Alabama,Alabama,Guin,$20000,Alabama,0,1.0
J. W. Hall,West Virginia,Alabama,Guntersville,$35000,Alabama,0,1.0
Alexander L. White,Alabama,Alabama,Huntsville,$45000,Alabama,0,1.0
Bernard F. Ludwig,Germany,Alabama,Jasper,$40000,Alabama,0,1.0
Laurie J. Frank,Georgia,Alabama,Jacksonville,$40000,Alabama,0,1.0
James L. Hooper,Alabama,Alabama,Linden,$10000,Alabama,0,1.0
William P. Childs,Alabama,Alabama,Marion,$14000,Alabama,0,1.0
William Geisler,Virginia,Alabama,Mobile,$75000,Alabama,0,1.0
Rolland G. Rhett,Alabama,Alabama,Mobile,$70000,Alabama,0,1.0
Charles Hurley,New York,Alabama,Mobile,$65000,Alabama,0,1.0
George E. James,Virginia,Alabama,Mobile,$65000,Alabama,0,1.0
Henry L. Wyman,Alabama,Alabama,Mobile,$65000,Alabama,0,1.0
Mrs. Ellen B. Nicholson,Pennsylvania,Alabama,Mobile,$70000,Alabama,0,1.0
