Name,Where born,Whence appointed,Post-office,Compensation per annum,State
),CLERKB IN POBTOFFICES.,,Postofice. astion per,$.,None
Alabams.,,,,,None
BT Edmundson.,Alabama,Alabms.,Alezander City.,$100,None
e,do. *aa,do.,Alalla e,$00,None
Davld w.Pickens.,ro. seee,,,,None
ees,,,Bangor.,,None
J.V. Mungrove.,,,,$60,None
Virgil K. Cranford.,do.,,BayMinetie.,$9500,None
A w. C. Saaroe a,do.,,Brewtou. sena,$100,None
Hary C. Forrin.,do.,do.,Bridgepert.,$45,None
Bline Neney A.N.Hupter.,do.,do.,Boldo. nee e,$100,None
MIF.A Addlon,do.,,e Batler.,$150,None
Fank B. MoCaakey,do. aesaanee aee .do.,,Canden esses,$200,None
Joneph Wood. aa,do. a Ds. do.,. Centre. 90 00,,,None
F.0. Collina,.do,eeee do. . sees . me Cullinscille. 1000 00,,,None
Ar. Thereas A.Copeland. menn,Bonth Carollna.,do a,Crnuville,$.,None
Fiwin Brooke easaa ees A! labama. a a ase do e sepe eveees Cnlluan eu 100 00.,,do . ana Decatur,,,None
Mra M. A.Theman ea,,,,,None
. amsear Nrw York.,,do. a . Demnp is.,,$0,None
Charles E. McClelland.,Alabams.,,,,None
ELI Brown.,,do e Eufsals.,,$800,None
. South Carolins,,,,,None
A5 L Bragh.,,,,,None
RI Bawdon.,,,,$400,None
. esese Al latama.,Virginia,,Evergroen,$909,None
RobertB. Bahb jr.,Alabama.,,,$.,None
Mien Leoua E Moore.,de,do.,Fayatte Coart Housa 150 00,,None
B Apnie U.Pope,do.,do.,Gondwaler,$150,None
Jon W.Du Bole.,do.,.do.,Greesmbnrough.,$162,None
Jobu ECrenrhaw.,do.,do.,Grvoaville.,€),None
Frd. E.Nexcomer.,do.,do. ss,Grvoaville.,$200,None
HW.Tall,Weni Virginta.,. do.,Hunterille. e,$9000,None
Alexsnder A White.,Alabama,e do,,$45000,None
Bernard F. Ledwig. eseses ese seer Germany e do. e e e da,,ado. ae De. peae Jarkvonrilie.,,$4000,None
Carrin J. Frank.,Genrgis... eree,,,,None
Jemes E Holmes,Alabama ev *eenm do asse Letrhatchee.,,,$100,None
Willlam F. Cbllds.,de ese eee do a,,Jarina e 140 00,,None
Willlam G.Foeter. sue soss,Virginia. eus es. sansa do . aen Mobile. a ee ee R50 00,,,,None
Ramiel L. Gonbil pese,Alahama . es a do. e,,do.,$700,None
Charles Hurley.,New Kark.,,do.,$0,None
Joneph K. Janies,Vinginls.,,do.,$425,None
Mra B. Nicbolaon. Pennaylsanis,,,,,None
Geos NAoore,Ellinois,do.,,$600,None
.,,do.,,$700,None
Franeis 8. Parker.,Souih Carolloa.,do.,,$2,None
9 G.Shourda.,,,,,None
C.Rayal..,Michigan,,,$600,None
Hope I.Slattrr.,Marylend.,,do.,$50,None
Janen HMmith.,Virginla,,do.,$.,None
Rprarer Terrll.,Alabame.,do.,do . e. ROO 00,,None
Hughen,Virginis.,,fomroerille. secee 200 00,,None
1 Hubard.,Alabams.,,,,None
James R. Dillar. es,Genrgia.,de,do ese ereeres Bno 00,,None
Charles 0. Harris,Alabama,a do. se e,do sese . aepe 60O 00,,None
W D.Miner.,,,,,None
W.Dlue.,,,da a e Prssss 500 00,,None
. do.,do . do,. e * do,do me,$600,None
31 WillifordJr.,Grorgis,e da,do.,$540,None
John Norris,Alabams ses ne. s do,,,$120,None
Waren Browa aa,do.,,do.,$180,None
Virglala.,,,Moantrleasnt.,,None
Mi. Marr KShome.,,,,$50,None
CaeKemie.,,,,,None
Alabama,,Gonrgia,Opeliks.,$480,None
Cody Colller,Gourgis,Alabama.,Opeliks.,$120,None
Ramuel X. Ellington,Alabama.,do.,Oxlurd.,$100,None
MrLaor J. Fiazler.,Geargla..,do.,Pikeville,$100,None
Mins Ninrie M Viekern.,Alabams,do.,Pine Apple.,$76,None
J.A.G Giddens Rumer.,Alabams,do.,Ramer.,$6,None
Mise Mollie J.Les,Alabams,do.,Rockford,$180,None
Alner KChapmsn,do.,do.,Rutledge .,$135,None
Misa AliceB.Power,do. ee,do.,Neottaburongh. e s 150 00,,None
B Mary E. Harte..,,,Beles eeece eve 600 00,,None
KJackson,Alabams..,.do,* do eeea e 420 00,,None
Jetr. H. Clark,Alabams..,ee da.,do. aea. aeer 48Q 00,,None
REI Portls ees,.do . svemseese do eesee,,Suggnrille. e pea pan,$78,None
Frank M Sbousejr.asa.,a do. aaa esces e a do enee,,Talladega.,$220,None
Callle K. Sunnan amse,do esre da. es ses Tukcumbia.,,Talladega.,$180,None
Wlllam T. Farley .,de York. eeessessevve do. a appes e Dnkns Springu. e 20000,,,$496,None
Hears Harris er,,,,,None
EH.Dalger.,Alabama.,,Wetumpkn.,$243,None
Arisens,,,,,None
Jobe 4GHII,,,,$100,None
Mra. C.1 Willame.,Illinola,,Globe.,$.,None
A.H. Hackney.,Pennssiragla.,.do.,do. saabe,$.,None
Leantdashrice.,Califoruia.,do.,Mfariceya. asa,$400,None
CM Coover.,Mlesourl.s.,edo.,Phenls.,$2,None
ELFyBG,Manmachnsette.,do.,Preacott. ame,$800,None
EdwardUIAne.,Moneyerder fonit,.do.,Tombatono.,$0 p.m.,None
